gene_id,7554b029c9b5405b10af2abbc8cfb8,4b1efadfac8ef7d618dd0a72d74965,b805c74d2269a0bc7cb71fb4228e51,bb555814a8fcf39702f665bd3d7f60,6d23896f3a3f116f878335e8ae25aa,e1e8d55c706ebfc3586551ef3e39b0,e18610c05f8d2997ea5b827525af3a,814d63ad75ee01be7ecee119ad3385,7ed5e249f5a8fe881b026b638c027c
MSTRG.1,74.4,78.5,78.5,97.6,97.6,101.8,228.1,135.7,135.7
MSTRG.10,5.6,9.3,9.3,0.0,0.0,2.4,0.0,0.0,0.0
MSTRG.100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.1000,131.3,98.4,98.4,58.4,58.4,0.0,58.1,53.3,53.3
MSTRG.1001,98.9,131.4,131.4,0.0,0.0,31.4,65.5,37.9,37.9
MSTRG.1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.1003,48.3,32.5,32.5,0.0,0.0,0.0,20.0,0.0,0.0
MSTRG.1004,158.4,224.4,224.4,186.4,186.4,222.9,256.9,262.3,262.3
MSTRG.1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.1006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.1007,0.0,51.8,51.8,51.0,51.0,37.4,95.0,69.1,69.1
MSTRG.1008,170.7,124.6,124.6,69.9,69.9,0.0,133.6,86.5,86.5
MSTRG.1009,154.4,205.2,205.2,61.4,61.4,81.9,132.3,107.5,107.5
MSTRG.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.1010,123.0,164.5,164.5,190.1,190.1,212.5,389.2,258.1,258.1
MSTRG.1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.1012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.1013,197.6,232.6,232.6,191.9,191.9,220.6,351.6,290.1,290.1
MSTRG.1014,12.1,12.6,12.6,0.0,0.0,14.0,0.0,0.0,0.0
MSTRG.1015,42.8,49.2,49.2,0.0,0.0,22.0,36.0,0.0,0.0
MSTRG.1016,23.9,45.9,45.9,15.8,15.8,17.0,17.4,14.9,14.9
MSTRG.1017,168.0,171.0,171.0,59.5,59.5,73.3,81.8,61.5,61.5
MSTRG.1018,237.5,263.0,263.0,179.7,179.7,206.1,232.8,206.8,206.8
MSTRG.1019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.102,224.1,108.5,108.5,52.1,52.1,0.0,1929.8,141.5,141.5
MSTRG.1020,18.6,23.8,23.8,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.1021,62.8,81.5,81.5,68.1,68.1,66.0,279.6,70.7,70.7
MSTRG.1022,184.3,203.7,203.7,0.0,0.0,0.0,50.6,23.9,23.9
MSTRG.1023,27.8,59.6,59.6,0.0,0.0,0.0,14.9,16.4,16.4
MSTRG.1024,16.6,20.3,20.3,12.4,12.4,12.9,28.7,17.3,17.3
MSTRG.1025,196.2,233.6,233.6,117.3,117.3,123.8,171.1,114.0,114.0
MSTRG.1026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.1027,19.4,26.1,26.1,18.6,18.6,24.9,34.3,22.0,22.0
MSTRG.1028,27.4,34.7,34.7,58.2,58.2,64.1,87.2,83.4,83.4
MSTRG.1029,25.0,23.0,23.0,57.9,57.9,48.0,49.9,59.6,59.6
MSTRG.103,112.3,102.2,102.2,60.3,60.3,44.4,90.4,65.9,65.9
MSTRG.1030,77.9,78.8,78.8,32.6,32.6,0.0,53.4,44.0,44.0
MSTRG.1031,96.5,139.2,139.2,32.4,32.4,56.7,64.3,40.7,40.7
MSTRG.1032,16.5,29.9,29.9,9.8,9.8,0.0,14.6,7.6,7.6
MSTRG.1033,94.6,85.5,85.5,86.7,86.7,81.6,118.6,82.8,82.8
MSTRG.1034,257.1,253.7,253.7,95.5,95.5,90.9,130.6,118.5,118.5
MSTRG.1035,240.1,231.1,231.1,32.3,32.3,53.2,101.2,63.5,63.5
MSTRG.1036,84.1,86.5,86.5,43.0,43.0,66.0,97.0,72.2,72.2
MSTRG.1037,186.7,263.7,263.7,97.5,97.5,104.2,173.4,93.2,93.2
MSTRG.1039,93.1,68.7,68.7,21.8,21.8,12.2,22.7,20.0,20.0
MSTRG.104,11.4,19.2,19.2,0.0,0.0,0.0,12.5,0.0,0.0
MSTRG.1040,74.6,138.6,138.6,96.7,96.7,80.4,206.3,115.2,115.2
