compound_name,name,kegg_id,inchi_key,pubchem_compound_id,formula,hmdb_id,chebi_id,lipidmaps_id,rt_peak,mz,adduct,polarity,compound_id,chromatography,source,feature_id,gnps_score,gnps_compound_name,cluster_id,cluster_label
C18_POS_0000_nicotinic_acid_positive_M+H124p0393_0p29,nicotinic acid,C00253,PVNIIMVLHYAWGP-UHFFFAOYSA-N,938.0,C6H5NO2,HMDB01488,CHEBI:32544///CHEBI:15940,,0.2903455,124.0393,[M+H]+,positive,C18_POS_0000_nicotinic_acid_positive_M+H124p0393_0p29,C18,targeted,,,,0.0,downregulated
C18_POS_0001_nicotinamide_positive_M+H123p0553_0p36,nicotinamide,C00153,DFPAKSUCGFBDDF-UHFFFAOYSA-N,936.0,C6H6N2O,HMDB01406,CHEBI:17154,,0.3630082,123.0553,[M+H]+,positive,C18_POS_0001_nicotinamide_positive_M+H123p0553_0p36,C18,targeted,,,,3.0,upregulated
C18_POS_0002_3-Hydroxy-L-Phenylalanine_positive_M+H182p0812_0p44,3-Hydroxy-L-Phenylalanine,,JZKXXXDKRQWDET-QMMMGPOBSA-N,6950577.0,C9H11NO3,HMDB59720,CHEBI:44303///CHEBI:78290,,0.4359942,182.0812,[M+H]+,positive,C18_POS_0002_3-Hydroxy-L-Phenylalanine_positive_M+H182p0812_0p44,C18,targeted,,,,0.0,downregulated
C18_POS_0003_isoleucine_positive_M+H132p1019_0p51,isoleucine,C00407,AGPKZVBTJJNPAG-WHFBIAKZSA-N,6306.0,C6H13NO2,HMDB00172,CHEBI:32604///CHEBI:58045///CHEBI:32605///CHEBI:17191,LMFA01100047,0.5097841,132.1019,[M+H]+,positive,C18_POS_0003_isoleucine_positive_M+H132p1019_0p51,C18,targeted,,,,3.0,upregulated
C18_POS_0004_leucine_positive_M+H132p1019_0p56,leucine,C16439,ROHFNLRQFUQHCH-UHFFFAOYSA-N,857.0,C6H13NO2,,CHEBI:25017///CHEBI:32627///CHEBI:32628,LMFA01100048,0.5641434,132.1019,[M+H]+,positive,C18_POS_0004_leucine_positive_M+H132p1019_0p56,C18,targeted,,,,3.0,upregulated
C18_POS_0005_norleucine_positive_M+H132p1019_0p58,norleucine,C01933,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,21236.0,C6H13NO2,HMDB01645,CHEBI:18347///CHEBI:21203///CHEBI:58455,LMFA01100042,0.579583,132.1019,[M+H]+,positive,C18_POS_0005_norleucine_positive_M+H132p1019_0p58,C18,targeted,,,,3.0,upregulated
C18_POS_0006_guanosine_positive_M+H284p0990_0p69,guanosine,C00387,NYHBQMYGNKIUIF-UUOKFMHZSA-N,6802.0,C10H13N5O5,HMDB00133,CHEBI:16750,,0.6852144,284.099,[M+H]+,positive,C18_POS_0006_guanosine_positive_M+H284p0990_0p69,C18,targeted,,,,3.0,upregulated
C18_POS_0007_phenylalanine_positive_M+H166p0863_1p31,phenylalanine,,COLNVLDHVKWLRT-UHFFFAOYSA-N,994.0,C9H11NO2,,CHEBI:28044///CHEBI:32504///CHEBI:32505,,1.313831,166.0863,[M+H]+,positive,C18_POS_0007_phenylalanine_positive_M+H166p0863_1p31,C18,targeted,,,,0.0,downregulated
C18_POS_0008_glycyl-l-leucine_positive_M+H189p1234_1p85,glycyl-l-leucine,C02155,DKEXFJVMVGETOO-LURJTMIESA-N,92843.0,C8H16N2O3,HMDB00759,CHEBI:73514,,1.848592,189.1234,[M+H]+,positive,C18_POS_0008_glycyl-l-leucine_positive_M+H189p1234_1p85,C18,targeted,,,,0.0,downregulated
C18_POS_0009_n-2-acetylguanine_positive_M+H194p0673_1p89,n-2-acetylguanine,,MXSMRDDXWJSGMC-UHFFFAOYSA-N,,C7H7N5O2,,,,1.887039,194.0673,[M+H]+,positive,C18_POS_0009_n-2-acetylguanine_positive_M+H194p0673_1p89,C18,targeted,,,,,
C18_POS_0010_5deoxyadenosine_positive_M+H252p1091_1p93,5'-deoxyadenosine,C05198,XGYIMTFOTBMPFP-KQYNXXCUSA-N,439182.0,C10H13N5O3,HMDB01983,CHEBI:17319,,1.93125,252.1091,[M+H]+,positive,C18_POS_0010_5deoxyadenosine_positive_M+H252p1091_1p93,C18,targeted,,,,0.0,downregulated
C18_POS_0011_1-methyladenosine_positive_M+H282p1197_1p99,1-methyladenosine,,GFYLSDSUCHVORB-IOSLPCCCSA-N,27476.0,C11H15N5O4,HMDB03331,CHEBI:16020,,1.994582,282.1197,[M+H]+,positive,C18_POS_0011_1-methyladenosine_positive_M+H282p1197_1p99,C18,targeted,,,,0.0,downregulated
C18_POS_0012_pantothenic_acid_positive_M+H220p1180_2p05,pantothenic acid,C00864,GHOKWGTUZJEAQD-UHFFFAOYSA-N,988.0,C9H17NO5,HMDB00210,CHEBI:16454///CHEBI:7916,,2.052597,220.118,[M+H]+,positive,C18_POS_0012_pantothenic_acid_positive_M+H220p1180_2p05,C18,targeted,,,,1.0,insignificant
C18_POS_0013_tryptophan_positive_M+H205p0972_2p12,tryptophan,C00525,QIVBCDIJIAJPQS-SECBINFHSA-N,9060.0,C11H12N2O2,HMDB13609,CHEBI:16296///CHEBI:57912///CHEBI:32716///CHEBI:32724///CHEBI:32704,,2.118006,205.0972,[M+H]+,positive,C18_POS_0013_tryptophan_positive_M+H205p0972_2p12,C18,targeted,,,,0.0,downregulated
C18_POS_0014_2-hydroxyquinoline-4-carboxylic_acid_positive_M+H190p0499_2p30,2-hydroxyquinoline-4-carboxylic acid,C16715,MFSHNFBQNVGXJX-UHFFFAOYSA-N,85076.0,C10H7NO3,,CHEBI:52045///CHEBI:58878,,2.302915,190.0499,[M+H]+,positive,C18_POS_0014_2-hydroxyquinoline-4-carboxylic_acid_positive_M+H190p0499_2p30,C18,targeted,,,,0.0,downregulated
C18_POS_0015_methylthioadenosine_positive_M+H298p0969_2p33,methylthioadenosine,C00170,WUUGFSXJNOTRMR-IOSLPCCCSA-N,439176.0,C11H15N5O3S,HMDB01173,CHEBI:17509,,2.325844,298.0969,[M+H]+,positive,C18_POS_0015_methylthioadenosine_positive_M+H298p0969_2p33,C18,targeted,,,,1.0,insignificant
C18_POS_0016_kynurenic_acid_positive_M+H190p0499_2p39,kynurenic acid,C01717,HCZHHEIFKROPDY-UHFFFAOYSA-N,3845.0,C10H7NO3,HMDB00715,CHEBI:18344///CHEBI:58454,,2.39153,190.0499,[M+H]+,positive,C18_POS_0016_kynurenic_acid_positive_M+H190p0499_2p39,C18,targeted,,,,0.0,downregulated
C18_POS_0017_1-methyl-1_2_3_4-tetrahydrobeta-carboline-3-carboxylic_acid_positive_M+H231p1128_2p53,"1-methyl-1,2,3,4-tetrahydrobeta-carboline-3-carboxylic acid",,ZUPHXNBLQCSEIA-UHFFFAOYSA-N,73530.0,C13H14N2O2,HMDB37942,,,2.532626,231.1128,[M+H]+,positive,C18_POS_0017_1-methyl-1_2_3_4-tetrahydrobeta-carboline-3-carboxylic_acid_positive_M+H231p1128_2p53,C18,targeted,,,,0.0,downregulated
C18_POS_0018_harmol_hydrochloride_dihydrate_positive_M+H199p0866_2p55,harmol hydrochloride dihydrate,,SATMZMMKDDTOSQ-UHFFFAOYSA-N,68094.0,C12H10N2O,HMDB34217,,,2.546137,199.0866,[M+H]+,positive,C18_POS_0018_harmol_hydrochloride_dihydrate_positive_M+H199p0866_2p55,C18,targeted,,,,,
C18_POS_0019_4-hydroxybenzaldehyde_positive_M+H123p0441_2p60,4-hydroxybenzaldehyde,C00633,RGHHSNMVTDWUBI-UHFFFAOYSA-N,126.0,C7H6O2,HMDB11718,CHEBI:17597,,2.599103,123.0441,[M+H]+,positive,C18_POS_0019_4-hydroxybenzaldehyde_positive_M+H123p0441_2p60,C18,targeted,,,,0.0,downregulated
C18_POS_0020_dimethylbenzimidazole_positive_M+H147p0917_2p61,dimethylbenzimidazole,C03114,LJUQGASMPRMWIW-UHFFFAOYSA-N,675.0,C9H10N2,HMDB03701,CHEBI:15890,,2.612865,147.0917,[M+H]+,positive,C18_POS_0020_dimethylbenzimidazole_positive_M+H147p0917_2p61,C18,targeted,,,,1.0,insignificant
C18_POS_0021_norharmane_positive_M+H169p0760_2p68,norharmane,C20157,AIFRHYZBTHREPW-UHFFFAOYSA-N,64961.0,C11H8N2,HMDB12897,CHEBI:109895,,2.675379,169.076,[M+H]+,positive,C18_POS_0021_norharmane_positive_M+H169p0760_2p68,C18,targeted,,,,,
C18_POS_0022_anthranilate_positive_M+H138p0550_2p80,anthranilate,C00108,RWZYAGGXGHYGMB-UHFFFAOYSA-N,227.0,C7H7NO2,HMDB01123,CHEBI:30754///CHEBI:16567,,2.796912,138.055,[M+H]+,positive,C18_POS_0022_anthranilate_positive_M+H138p0550_2p80,C18,targeted,,,,0.0,downregulated
C18_POS_0023_hyflavin_positive_M+H377p1456_2p81,hyflavin,,AUNGANRZJHBGPY-UHFFFAOYSA-N,1072.0,C17H20N4O6,,,,2.805327,377.1456,[M+H]+,positive,C18_POS_0023_hyflavin_positive_M+H377p1456_2p81,C18,targeted,,,,0.0,downregulated
C18_POS_0024_harman_positive_M+H183p0917_2p86,harman,C09209,PSFDQSOCUJVVGF-UHFFFAOYSA-N,5281404.0,C12H10N2,HMDB35196,CHEBI:5623,,2.861754,183.0917,[M+H]+,positive,C18_POS_0024_harman_positive_M+H183p0917_2p86,C18,targeted,,,,,
C18_POS_0025_isopentenyladenine_positive_M+H204p1244_2p92,isopentenyladenine,C04083,HYVABZIGRDEKCD-UHFFFAOYSA-N,92180.0,C10H13N5,,CHEBI:17660,,2.918745,204.1244,[M+H]+,positive,C18_POS_0025_isopentenyladenine_positive_M+H204p1244_2p92,C18,targeted,,,,0.0,downregulated
C18_POS_0026_23-carboxypropanoylamino3-methylpentanoic_acid_positive_M+H232p1180_2p92,2-(3-carboxypropanoylamino)-3-methylpentanoic acid,,LLXWDSPVRCKBPZ-UHFFFAOYSA-N,,C10H17NO5,,,,2.918875,232.118,[M+H]+,positive,C18_POS_0026_23-carboxypropanoylamino3-methylpentanoic_acid_positive_M+H232p1180_2p92,C18,targeted,,,,1.0,insignificant
C18_POS_0027_n-acetylisoleucine_positive_M+H174p1125_2p93,n-acetylisoleucine,,JDTWZSUNGHMMJM-UHFFFAOYSA-N,306109.0,C8H15NO3,HMDB61684,CHEBI:84056,,2.93158,174.1125,[M+H]+,positive,C18_POS_0027_n-acetylisoleucine_positive_M+H174p1125_2p93,C18,targeted,,,,0.0,downregulated
C18_POS_0028_vanillin_positive_M+H153p0546_3p01,vanillin,C00755,MWOOGOJBHIARFG-UHFFFAOYSA-N,1183.0,C8H8O3,HMDB12308,CHEBI:18346,,3.013242,153.0546,[M+H]+,positive,C18_POS_0028_vanillin_positive_M+H153p0546_3p01,C18,targeted,,,,0.0,downregulated
C18_POS_0029_n-acetyl-leucine_positive_M+H174p1125_3p03,n-acetyl-leucine,C02710,WXNXCEHXYPACJF-ZETCQYMHSA-N,70912.0,C8H15NO3,HMDB11756,CHEBI:17786///CHEBI:58270,,3.032307,174.1125,[M+H]+,positive,C18_POS_0029_n-acetyl-leucine_positive_M+H174p1125_3p03,C18,targeted,,,,0.0,downregulated
C18_POS_0030_23-carboxypropanoylamino_hexanoic_acid_positive_M+H232p1180_3p05,2-(3-carboxypropanoylamino)hexanoic acid,,HVHVSXVMYPKOKL-UHFFFAOYSA-N,,C10H17NO5,,,,3.054234,232.118,[M+H]+,positive,C18_POS_0030_23-carboxypropanoylamino_hexanoic_acid_positive_M+H232p1180_3p05,C18,targeted,,,,1.0,insignificant
C18_POS_0031_n-acetyl-phenylalanine_positive_M+H208p0968_3p18,n-acetyl-phenylalanine,C03519,CBQJSKKFNMDLON-JTQLQIEISA-N,74839.0,C11H13NO3,HMDB00512,CHEBI:57702///CHEBI:16259,,3.182931,208.0968,[M+H]+,positive,C18_POS_0031_n-acetyl-phenylalanine_positive_M+H208p0968_3p18,C18,targeted,,,,0.0,downregulated
C18_POS_0032_indole-3-carboxylic_acid_positive_M+H162p0550_3p24,indole-3-carboxylic acid,,KMAKOBLIOCQGJP-UHFFFAOYSA-N,69867.0,C9H7NO2,HMDB03320,CHEBI:62448///CHEBI:24809,,3.237739,162.055,[M+H]+,positive,C18_POS_0032_indole-3-carboxylic_acid_positive_M+H162p0550_3p24,C18,targeted,,,,0.0,downregulated
C18_POS_0033_indole-3-carbaldehyde_positive_M+H146p0601_3p32,indole-3-carbaldehyde,C08493,OLNJUISKUQQNIM-UHFFFAOYSA-N,10256.0,C9H7NO,HMDB29737,,,3.315327,146.0601,[M+H]+,positive,C18_POS_0033_indole-3-carbaldehyde_positive_M+H146p0601_3p32,C18,targeted,,,,0.0,downregulated
C18_POS_0034_indole-3-acetate_positive_M+H176p0706_3p47,indole-3-acetate,C00954,SEOVTRFCIGRIMH-UHFFFAOYSA-N,802.0,C10H9NO2,HMDB00197,CHEBI:30854///CHEBI:16411,,3.472621,176.0706,[M+H]+,positive,C18_POS_0034_indole-3-acetate_positive_M+H176p0706_3p47,C18,targeted,,,,1.0,insignificant
C18_POS_0035_lumichrome_positive_M+H243p0877_3p51,lumichrome,C01727,ZJTJUVIJVLLGSP-UHFFFAOYSA-N,5326566.0,C12H10N4O2,,CHEBI:37323///CHEBI:17781,,3.507502,243.0877,[M+H]+,positive,C18_POS_0035_lumichrome_positive_M+H243p0877_3p51,C18,targeted,,,,0.0,downregulated
C18_POS_0036_6_8-dihydroxy-8a-methyl-3_5-dimethylidene-dodecahydronaphtho2_3-bfuran-2-one_positive_M+H265p1435_3p75,"6,8-dihydroxy-8a-methyl-3,5-dimethylidene-dodecahydronaphtho[2,3-b]furan-2-one",,ZEIYNPAINVEWGP-UHFFFAOYSA-N,,C15H20O4,,,,3.751591,265.1435,[M+H]+,positive,C18_POS_0036_6_8-dihydroxy-8a-methyl-3_5-dimethylidene-dodecahydronaphtho2_3-bfuran-2-one_positive_M+H265p1435_3p75,C18,targeted,,,,0.0,downregulated
C18_POS_0037_e31-ethyl-3-methylpyrazol-4-yl14-hydroxyphenyl_prop-2-en-1-one_positive_M+H257p1285_4p13,(e)-3-(1-ethyl-3-methylpyrazol-4-yl)-1-(4-hydroxyphenyl)prop-2-en-1-one,,SFCUSJOYYNAHAS-RMKNXTFCSA-N,,C15H16N2O2,,,,4.133805,257.1285,[M+H]+,positive,C18_POS_0037_e31-ethyl-3-methylpyrazol-4-yl14-hydroxyphenyl_prop-2-en-1-one_positive_M+H257p1285_4p13,C18,targeted,,,,0.0,downregulated
C18_POS_0038_3-hydroxy-6_6-dimethyl-23_4_5-trimethoxyphenyl3_5_6_7-tetrahydrobenzimidaz_ol-4-one_positive_M+H347p1602_4p19,"3-hydroxy-6,6-dimethyl-2-(3,4,5-trimethoxyphenyl)-3,5,6,7-tetrahydrobenzimidaz ol-4-one",,JZWFFWPWYDAKAR-UHFFFAOYSA-N,,C18H22N2O5,,,,4.186919,347.1602,[M+H]+,positive,C18_POS_0038_3-hydroxy-6_6-dimethyl-23_4_5-trimethoxyphenyl3_5_6_7-tetrahydrobenzimidaz_ol-4-one_positive_M+H347p1602_4p19,C18,targeted,,,,,
C18_POS_0039_3_4_5-triethoxy-n-pyridin-3-ylbenzamide_positive_M+H331p1653_4p36,"3,4,5-triethoxy-n-pyridin-3-ylbenzamide",,PHHCLTOYQKAXLJ-UHFFFAOYSA-N,,C18H22N2O4,,,,4.364697,331.1653,[M+H]+,positive,C18_POS_0039_3_4_5-triethoxy-n-pyridin-3-ylbenzamide_positive_M+H331p1653_4p36,C18,targeted,,,,,
C18_POS_0040_prostaglandin_f2_positive_M+Na377p2298_4p61,prostaglandin f2,C12786///C00639,PXGPLTODNUVGFL-YNNPMVKQSA-N,5280363.0,C20H34O5,HMDB15291,CHEBI:15553///CHEBI:57404///CHEBI:31502,LMFA03010002,4.614746,377.2298,[M+Na]+,positive,C18_POS_0040_prostaglandin_f2_positive_M+Na377p2298_4p61,C18,targeted,,,,0.0,downregulated
C18_POS_0041_isotretinoin_positive_M+H301p2162_5p34,isotretinoin,D00348,SHGAZHPCJJPHSC-XFYACQKRSA-N,5282379.0,C20H28O2,HMDB06219,CHEBI:6067,LMPR01090021,5.34285,301.2162,[M+H]+,positive,C18_POS_0041_isotretinoin_positive_M+H301p2162_5p34,C18,targeted,,,,0.0,downregulated
C18_POS_0042_indirubin_positive_M+H263p0815_5p39,indirubin,,CRDNMYFJWFXOCH-YPKPFQOOSA-N,5318433.0,C16H10N2O2,,,,5.385923,263.0815,[M+H]+,positive,C18_POS_0042_indirubin_positive_M+H263p0815_5p39,C18,targeted,,,,,
C18_POS_0043_sphinganine_positive_M+H302p3054_5p52,sphinganine,C00836,OTKJDMGTUTTYMP-ZWKOTPCHSA-N,91486.0,C18H39NO2,HMDB00269,CHEBI:16566,LMSP01020001,5.522835,302.3054,[M+H]+,positive,C18_POS_0043_sphinganine_positive_M+H302p3054_5p52,C18,targeted,,,,1.0,insignificant
C18_POS_0044_122-furylmethyl5-methylpyrrolidinylamino_methylene7-822-fury_lmethyl_pyrrolidinylamino_methylene1_6-dihydroxy-3-methyl-5methylethyl7oxo_2-naphthyl3_8-dihydroxy-6-methyl-4methylethyl_naphthalen-2-one_positive_M+2Na2437p1941_5p69,"1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one",,OZMHKRBQDGOIDU-IEXCSMOPSA-N,,C49H56N4O8,,,,5.693603,437.1941,[M+2Na]2+,positive,C18_POS_0044_122-furylmethyl5-methylpyrrolidinylamino_methylene7-822-fury_lmethyl_pyrrolidinylamino_methylene1_6-dihydroxy-3-methyl-5methylethyl7oxo_2-naphthyl3_8-dihydroxy-6-methyl-4methylethyl_naphthalen-2-one_positive_M+2Na2437p1941_5p69,C18,targeted,,,,1.0,insignificant
