compound_id,log2FC,pval,comparison,condition,timepoint_h,adj_pval,significant
C18_POS_0000_nicotinic_acid_positive_M+H124p0393_0p29,-0.334378633987697,0.1398734893961888,8_vs_0h_t24h,8,24,0.329458114396598,False
C18_POS_0001_nicotinamide_positive_M+H123p0553_0p36,0.7645586981253274,0.0012303026915694,8_vs_0h_t24h,8,24,0.0528622541233248,False
C18_POS_0002_3-Hydroxy-L-Phenylalanine_positive_M+H182p0812_0p44,-0.28494321154594,0.244387520827735,8_vs_0h_t24h,8,24,0.431347164698561,False
C18_POS_0003_isoleucine_positive_M+H132p1019_0p51,-1.188392735704756,7.819028149852528e-05,8_vs_0h_t24h,8,24,0.0096102964169096,True
C18_POS_0004_leucine_positive_M+H132p1019_0p56,-1.188392735704756,7.819028149852528e-05,8_vs_0h_t24h,8,24,0.0096102964169096,True
C18_POS_0005_norleucine_positive_M+H132p1019_0p58,-1.188392735704756,7.819028149852528e-05,8_vs_0h_t24h,8,24,0.0096102964169096,True
C18_POS_0006_guanosine_positive_M+H284p0990_0p69,0.0090797287924608,0.916929925752577,8_vs_0h_t24h,8,24,0.9572890035656249,False
C18_POS_0007_phenylalanine_positive_M+H166p0863_1p31,-1.4370163561841345,0.0014253332966729,8_vs_0h_t24h,8,24,0.0528622541233248,False
C18_POS_0008_glycyl-l-leucine_positive_M+H189p1234_1p85,-0.4496587792379145,0.291139526535434,8_vs_0h_t24h,8,24,0.4833153621908833,False
C18_POS_0011_1-methyladenosine_positive_M+H282p1197_1p99,-1.7232988285541389,0.0146256650645151,8_vs_0h_t24h,8,24,0.0946119577379159,False
C18_POS_0012_pantothenic_acid_positive_M+H220p1180_2p05,-0.0512507299072027,0.8375913939225634,8_vs_0h_t24h,8,24,0.9073906767494436,False
C18_POS_0013_tryptophan_positive_M+H205p0972_2p12,-0.225981313268484,0.6244433496315012,8_vs_0h_t24h,8,24,0.7309501374041468,False
C18_POS_0014_2-hydroxyquinoline-4-carboxylic_acid_positive_M+H190p0499_2p30,-1.8915244466362824,0.0025857767642415,8_vs_0h_t24h,8,24,0.0579564214270335,False
C18_POS_0015_methylthioadenosine_positive_M+H298p0969_2p33,0.9508902399135196,0.0809103012150417,8_vs_0h_t24h,8,24,0.2269517162712375,False
C18_POS_0016_kynurenic_acid_positive_M+H190p0499_2p39,-1.8915244466362824,0.0025857767642415,8_vs_0h_t24h,8,24,0.0579564214270335,False
C18_POS_0019_4-hydroxybenzaldehyde_positive_M+H123p0441_2p60,-1.8311343374499105,0.0038528821128095,8_vs_0h_t24h,8,24,0.0611980904342743,False
C18_POS_0020_dimethylbenzimidazole_positive_M+H147p0917_2p61,2.1049858292978776,0.0063920423247098,8_vs_0h_t24h,8,24,0.0676314336753406,False
C18_POS_0022_anthranilate_positive_M+H138p0550_2p80,-2.0472844293001278,0.0019696883824182,8_vs_0h_t24h,8,24,0.0579564214270335,False
C18_POS_0023_hyflavin_positive_M+H377p1456_2p81,0.1788438566016097,0.4215555431696052,8_vs_0h_t24h,8,24,0.5620740575594736,False
C18_POS_0025_isopentenyladenine_positive_M+H204p1244_2p92,-1.715877299975709,0.0098820446930195,8_vs_0h_t24h,8,24,0.0790563575441564,False
C18_POS_0026_23-carboxypropanoylamino3-methylpentanoic_acid_positive_M+H232p1180_2p92,-0.7058632291861535,0.0138755166327969,8_vs_0h_t24h,8,24,0.0924123078204013,False
C18_POS_0027_n-acetylisoleucine_positive_M+H174p1125_2p93,-1.824207655624889,0.0044100801025447,8_vs_0h_t24h,8,24,0.0643726070666082,False
C18_POS_0028_vanillin_positive_M+H153p0546_3p01,-1.2271800582356782,0.0244579826287591,8_vs_0h_t24h,8,24,0.1229263662233543,False
C18_POS_0029_n-acetyl-leucine_positive_M+H174p1125_3p03,-1.976453559706954,0.0034726592896123,8_vs_0h_t24h,8,24,0.0594308273361509,False
