pathway,pathway_name,comparison,overlap,pathway_size,sig_size,background,overlap_ratio,pval,metabolites,adj_pval
map01100,Metabolic pathways,8_vs_0h_t24h,3,135,5,200,0.022222222222222223,0.804884002052586,C00407;C01717;C01879,0.8168884366235334
map01110,Biosynthesis of secondary metabolites,8_vs_0h_t24h,1,57,5,200,0.017543859649122806,0.8168884366235334,C00407,0.8168884366235334
map01210,2-Oxocarboxylic acid metabolism,8_vs_0h_t24h,1,15,5,200,0.06666666666666667,0.32559614496328515,C00407,0.5623933413002198
map01230,Biosynthesis of amino acids,8_vs_0h_t24h,1,28,5,200,0.03571428571428571,0.5334492357628343,C00407,0.6757023652995902
map00280,"Valine, leucine and isoleucine degradation",8_vs_0h_t24h,1,3,5,200,0.3333333333333333,0.0735000761382671,C00407,0.44258275522910867
map00290,"Valine, leucine and isoleucine biosynthesis",8_vs_0h_t24h,1,6,5,200,0.16666666666666666,0.14261343099223583,C00407,0.44258275522910867
map00380,Tryptophan metabolism,8_vs_0h_t24h,1,5,5,200,0.2,0.12005062654466303,C01717,0.44258275522910867
map00460,Cyanoamino acid metabolism,8_vs_0h_t24h,1,8,5,200,0.125,0.18635063378067734,C00407,0.44258275522910867
map00480,Glutathione metabolism,8_vs_0h_t24h,1,6,5,200,0.16666666666666666,0.14261343099223583,C01879,0.44258275522910867
map00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",8_vs_0h_t24h,1,8,5,200,0.125,0.18635063378067734,C00407,0.44258275522910867
map00966,Glucosinolate biosynthesis,8_vs_0h_t24h,1,6,5,200,0.16666666666666666,0.14261343099223583,C00407,0.44258275522910867
map01060,Biosynthesis of plant secondary metabolites,8_vs_0h_t24h,1,34,5,200,0.029411764705882353,0.6101765691609399,C00407,0.7078899985184169
map01064,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",8_vs_0h_t24h,1,15,5,200,0.06666666666666667,0.32559614496328515,C00407,0.5623933413002198
map00970,Aminoacyl-tRNA biosynthesis,8_vs_0h_t24h,1,17,5,200,0.058823529411764705,0.3616541654147194,C00407,0.5726190952399723
map02010,ABC transporters,8_vs_0h_t24h,1,36,5,200,0.027777777777777776,0.6333752618322678,C00407,0.7078899985184169
map04974,Protein digestion and absorption,8_vs_0h_t24h,1,21,5,200,0.047619047619047616,0.42914414956095437,C00407,0.6040505021741879
map04978,Mineral absorption,8_vs_0h_t24h,1,11,5,200,0.09090909090909091,0.2485927644021412,C00407,0.524806947071187
map04382,Cornified envelope formation,8_vs_0h_t24h,1,4,5,200,0.25,0.0970153026322197,C01879,0.44258275522910867
map05230,Central carbon metabolism in cancer,8_vs_0h_t24h,1,22,5,200,0.045454545454545456,0.4450898437072964,C00407,0.6040505021741879
