,0h-1,0h-10,0h-11,0h-12,0h-13,0h-14,0h-15,0h-16,0h-2,0h-3,0h-4,0h-5,0h-6,0h-7,0h-8,0h-9,8-144h-1,8-144h-10,8-144h-11,8-144h-12,8-144h-13,8-144h-14,8-144h-15,8-144h-16,8-144h-2,8-144h-3,8-144h-4,8-144h-5,8-144h-6,8-144h-7,8-144h-8,8-144h-9,8-24h-1,8-24h-10,8-24h-11,8-24h-12,8-24h-13,8-24h-14,8-24h-15,8-24h-16,8-24h-2,8-24h-3,8-24h-4,8-24h-5,8-24h-6,8-24h-7,8-24h-8,8-24h-9,8-72h-1,8-72h-10,8-72h-11,8-72h-12,8-72h-13,8-72h-14,8-72h-15,8-72h-16,8-72h-2,8-72h-3,8-72h-4,8-72h-5,8-72h-6,8-72h-7,8-72h-8,8-72h-9,P-144h-1,P-144h-10,P-144h-11,P-144h-12,P-144h-13,P-144h-14,P-144h-15,P-144h-16,P-144h-2,P-144h-3,P-144h-4,P-144h-5,P-144h-6,P-144h-7,P-144h-8,P-144h-9,P-24h-1,P-24h-10,P-24h-11,P-24h-12,P-24h-13,P-24h-14,P-24h-15,P-24h-16,P-24h-2,P-24h-3,P-24h-4,P-24h-5,P-24h-6,P-24h-7,P-24h-8,P-24h-9,P-72h-1,P-72h-10,P-72h-11,P-72h-12,P-72h-13,P-72h-14,P-72h-15,P-72h-16,P-72h-2,P-72h-3,P-72h-4,P-72h-5,P-72h-6,P-72h-7,P-72h-8,P-72h-9,S-144h-1,S-144h-10,S-144h-11,S-144h-12,S-144h-13,S-144h-14,S-144h-15,S-144h-16,S-144h-2,S-144h-3,S-144h-4,S-144h-5,S-144h-6,S-144h-7,S-144h-8,S-144h-9,S-24h-1,S-24h-10,S-24h-11,S-24h-12,S-24h-13,S-24h-14,S-24h-15,S-24h-16,S-24h-2,S-24h-3,S-24h-4,S-24h-5,S-24h-6,S-24h-7,S-24h-8,S-24h-9,S-72h-1,S-72h-10,S-72h-11,S-72h-12,S-72h-13,S-72h-14,S-72h-15,S-72h-16,S-72h-2,S-72h-3,S-72h-4,S-72h-5,S-72h-6,S-72h-7,S-72h-8,S-72h-9
C18_POS_0000_nicotinic_acid_positive_M+H124p0393_0p29,17.59151489346984,,,,,,,,17.416760264084193,17.934248727984844,17.229806317166652,,,,,,17.199940695313213,,,,,,,,16.654207399963905,16.211286987729057,16.41887062296697,,,,,,17.044531382149703,,,,,,,,,17.43723721277259,17.14434315514376,,,,,,17.42175366780505,,,,,,,,17.149039640457424,17.222634155341936,16.77134817586854,,,,,,21.01129109435945,,,,,,,,20.95239527835856,21.341576265257633,20.941857033545553,,,,,,18.222074205668942,,,,,,,,17.979944581160677,17.77803220485022,18.119108187822437,,,,,,18.917275077402547,,,,,,,,18.672980056349857,18.629232339010017,18.234853707712162,,,,,,17.364829196371005,,,,,,,,16.68908744229451,17.198886728618373,17.05744480107068,,,,,,,,,,,,,,16.587836066179364,16.179982750619757,16.68684832591931,,,,,,17.171621929377938,,,,,,,,17.70399769000248,17.123554839949307,16.7965680633538,,,,,
C18_POS_0001_nicotinamide_positive_M+H123p0553_0p36,19.378962825222025,,,,,,,,19.58465846085928,19.73980682844804,19.318088907760128,,,,,,21.916515964701077,,,,,,,,21.456349394995023,21.692111099547216,22.016109977042166,,,,,,20.183099973887828,,,,,,,,20.541017824999553,20.140546752370433,20.215087263532972,,,,,,21.25768634838008,,,,,,,,21.331017249904402,21.226856917250576,21.24245715400566,,,,,,22.813104066517518,,,,,,,,22.58082046406216,22.626814908725116,22.318509108379722,,,,,,15.905537249936692,,,,,,,,15.841112216124733,15.58786509614449,16.087237144044106,,,,,,19.064297450092656,,,,,,,,18.3325164998603,18.903733299696682,18.60031170352418,,,,,,21.98367484637069,,,,,,,,22.423878010269853,22.18573051179284,21.952568106546995,,,,,,20.91873424368796,,,,,,,,20.573275063020983,20.24396967900743,20.45797628136671,,,,,,20.997928801504774,,,,,,,,20.876150728065305,21.255173516371592,21.359835371772796,,,,,
C18_POS_0002_3-Hydroxy-L-Phenylalanine_positive_M+H182p0812_0p44,19.053695756822265,,,,,,,,19.15325841233138,19.749107412278217,19.649719420930243,,,,,,20.127914747615563,,,,,,,,19.87601447760004,19.96201623437307,20.025758304153896,,,,,,19.333107386572152,,,,,,,,18.735484111499158,19.250916148819922,19.146500509287105,,,,,,18.943409439895817,,,,,,,,18.851213718861125,18.843029504080622,19.0893662420403,,,,,,20.21070627457334,,,,,,,,20.25457603090768,19.713260913131993,19.957304695669514,,,,,,20.497909665270626,,,,,,,,20.305815736647084,20.28436754050282,20.426504951879775,,,,,,20.479690796216914,,,,,,,,20.423565981576427,20.496519980767435,20.400237069503298,,,,,,19.183871034462346,,,,,,,,19.137325131389,18.951209492002448,19.13642945605895,,,,,,18.839869857629967,,,,,,,,19.506470841131307,19.27356446201383,19.32829156277247,,,,,,18.96707563017334,,,,,,,,18.945899873789294,18.939649508360066,19.242059923898932,,,,,
C18_POS_0003_isoleucine_positive_M+H132p1019_0p51,24.083613652902557,,,,,,,,24.354122231621897,24.28412191928095,24.066332022208247,,,,,,22.72691230669537,,,,,,,,22.78630512896091,22.526275620789313,22.640509343613697,,,,,,22.936167441596005,,,,,,,,22.966942722588534,23.067089426848323,23.06441929216176,,,,,,22.290001503403353,,,,,,,,22.320306649310496,21.82574944088534,22.225898609920495,,,,,,24.509035058168408,,,,,,,,24.47238888521818,24.17558651033593,24.651206311432425,,,,,,25.422765304047793,,,,,,,,25.311271485968042,25.279459632841167,25.28516655691585,,,,,,23.969528903092094,,,,,,,,24.293942328123492,23.969122602338498,24.222262914948832,,,,,,22.777208594289885,,,,,,,,22.663675866410532,22.469606017371575,22.6384251081977,,,,,,23.148962788044123,,,,,,,,23.140428353036373,22.879182306098304,23.049434644820746,,,,,,22.3906989831819,,,,,,,,22.467146351960665,22.446014790801637,22.400112620145457,,,,,
C18_POS_0004_leucine_positive_M+H132p1019_0p56,24.083613652902557,,,,,,,,24.354122231621897,24.28412191928095,24.066332022208247,,,,,,22.72691230669537,,,,,,,,22.78630512896091,22.526275620789313,22.640509343613697,,,,,,22.936167441596005,,,,,,,,22.966942722588534,23.067089426848323,23.06441929216176,,,,,,22.290001503403353,,,,,,,,22.320306649310496,21.82574944088534,22.225898609920495,,,,,,24.509035058168408,,,,,,,,24.47238888521818,24.17558651033593,24.651206311432425,,,,,,25.422765304047793,,,,,,,,25.311271485968042,25.279459632841167,25.28516655691585,,,,,,23.969528903092094,,,,,,,,24.293942328123492,23.969122602338498,24.222262914948832,,,,,,22.777208594289885,,,,,,,,22.663675866410532,22.469606017371575,22.6384251081977,,,,,,23.148962788044123,,,,,,,,23.140428353036373,22.879182306098304,23.049434644820746,,,,,,22.3906989831819,,,,,,,,22.467146351960665,22.446014790801637,22.400112620145457,,,,,
C18_POS_0005_norleucine_positive_M+H132p1019_0p58,24.083613652902557,,,,,,,,24.354122231621897,24.28412191928095,24.066332022208247,,,,,,22.72691230669537,,,,,,,,22.78630512896091,22.526275620789313,22.640509343613697,,,,,,22.936167441596005,,,,,,,,22.966942722588534,23.067089426848323,23.06441929216176,,,,,,22.290001503403353,,,,,,,,22.320306649310496,21.82574944088534,22.225898609920495,,,,,,24.509035058168408,,,,,,,,24.47238888521818,24.17558651033593,24.651206311432425,,,,,,25.422765304047793,,,,,,,,25.311271485968042,25.279459632841167,25.28516655691585,,,,,,23.969528903092094,,,,,,,,24.293942328123492,23.969122602338498,24.222262914948832,,,,,,22.777208594289885,,,,,,,,22.663675866410532,22.469606017371575,22.6384251081977,,,,,,23.148962788044123,,,,,,,,23.140428353036373,22.879182306098304,23.049434644820746,,,,,,22.3906989831819,,,,,,,,22.467146351960665,22.446014790801637,22.400112620145457,,,,,
C18_POS_0006_guanosine_positive_M+H284p0990_0p69,16.52372135599915,,,,,,,,16.14685386090172,16.333387292910594,16.266228838505615,,,,,,18.23719771514677,,,,,,,,18.407270169011614,18.34052460675562,18.60848330232932,,,,,,16.309463391897214,,,,,,,,,,16.343791739846246,,,,,,17.07077371339026,,,,,,,,16.857966183776327,16.91554263441412,16.03355242351338,,,,,,18.984581270974434,,,,,,,,18.851786968525165,18.847393257884058,18.9773731074337,,,,,,19.67413080751679,,,,,,,,19.385160014837947,19.362530954189445,19.476138524372416,,,,,,18.056879365498123,,,,,,,,17.847825805026165,18.318089378131763,18.14137887114574,,,,,,17.992981642372428,,,,,,,,17.747754224617594,17.992517097312913,17.99802446517035,,,,,,,,,,,,,,16.320317278743875,15.328737148734918,16.013797793301507,,,,,,16.700356418792456,,,,,,,,16.70792967651989,17.25166351339379,17.184090488418324,,,,,
C18_POS_0007_phenylalanine_positive_M+H166p0863_1p31,23.65715017028118,,,,,,,,23.647272211244807,23.60714279737841,22.908232752059323,,,,,,21.83892999046346,,,,,,,,21.83219449054453,21.908686334085555,21.947158653564962,,,,,,21.86929285230498,,,,,,,,22.250321781688665,21.863320386720126,22.088797485513407,,,,,,21.75690347002846,,,,,,,,21.786845973432634,21.109557321036874,21.670570987555557,,,,,,23.653270248440087,,,,,,,,23.591283936558824,23.25781726085027,23.566420052964776,,,,,,24.85464537083142,,,,,,,,24.53500143125947,24.56890357235689,24.616972703253968,,,,,,23.47667180386533,,,,,,,,23.661682861239264,23.466108870308915,23.70376556643572,,,,,,22.38937084093106,,,,,,,,22.697924654844304,22.6124146312588,22.418258661935575,,,,,,22.818602998708194,,,,,,,,22.232358226012856,21.731369170328893,22.11010628470446,,,,,,22.235160496008056,,,,,,,,22.1735618695146,22.375088311724426,22.416849023354423,,,,,
C18_POS_0008_glycyl-l-leucine_positive_M+H189p1234_1p85,18.951865599450464,,,,,,,,17.413604199916385,18.829281990768408,18.239432013715245,,,,,,18.462829129565318,,,,,,,,18.61567432033371,18.49858573613614,18.523867154951997,,,,,,18.001519459295803,,,,,,,,17.931155967463468,17.789169184570977,17.91370407556859,,,,,,18.329793032479557,,,,,,,,17.95108086966383,17.22499421571891,17.874139751170762,,,,,,21.611633910531594,,,,,,,,21.354185696885967,21.424827346667882,21.70725437673631,,,,,,15.838077961998135,,,,,,,,15.650580334170897,15.744638565598489,15.725962406393911,,,,,,19.70558037095422,,,,,,,,19.00205548634239,19.989626355002592,20.017771544402173,,,,,,17.70896963235216,,,,,,,,17.68636000691446,17.504309432963282,17.434142783529097,,,,,,18.486123667678076,,,,,,,,18.36061280541187,17.768648247716584,17.99210422799996,,,,,,18.317281780650834,,,,,,,,18.449538412734583,18.3017984041967,18.374177726813713,,,,,
C18_POS_0009_n-2-acetylguanine_positive_M+H194p0673_1p89,,,,,,,,,,,,,,,,,17.793597246620315,,,,,,,,17.841870017951326,18.29038611186918,17.95290408190293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.032928530657507,,,,,,,18.192217939722738,,,,,,,,18.681671310207687,18.37984918439802,18.277108375447632,,,,,,,,,,,,,,,,,,,,,,18.798050422246376,,,,,,,,17.694758567153954,18.682882025409487,18.18328412308765,,,,,,17.805843993601435,,,,,,,,17.681574641422092,18.145663602827938,18.335204543008317,,,,,,,,,,,,,,,,,,,,,,16.068607343465384,,,,,,,,15.706040216977932,15.62931858914209,16.198629298073058,,,,,
