metabolite_kegg_id,metabolite_name,metabolite_compound_id,gene_id,gene_description,kegg_ko,ec_number,link_via
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1060.t1,Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain,K03942,,KO:K03942->RXN:R11945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1111.t1,FAD binding,K00480,,KO:K00480->RXN:R00818
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1179.t1,"Component of the microsomal membrane bound fatty acid elongation system, which produces the 26-carbon very long-chain fatty acids (VLCFA) from palmitate. Catalyzes the reduction of the 3-ketoacyl-CoA intermediate that is formed in each cycle of fatty acid elongation. VLCFAs serve as precursors for ceramide and sphingolipids",K10251,,KO:K10251->RXN:R08945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1181.t1,Component of,K09699,,KO:K09699->RXN:R01651
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1235.t1,"Nitrate reductase is a key enzyme involved in the first step of nitrate assimilation in plants, fungi and bacteria",K10534,,KO:K10534->RXN:R00794
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g134.t1,The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2),K00627,,KO:K00627->RXN:R00209
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1349.t1,Molybdopterin-binding domain of aldehyde dehydrogenase,K00106,,KO:K00106->RXN:R01768
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1388.t1,protein serine/threonine phosphatase activity,K00015,,KO:K00015->RXN:R01388
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1550.t1,Isocitrate dehydrogenase NAD regulatory subunit 1,K00030,,KO:K00030->RXN:R00709
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1589.t1,"Nitrate reductase is a key enzyme involved in the first step of nitrate assimilation in plants, fungi and bacteria",K10534,,KO:K10534->RXN:R00794
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1612.t1,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor",,1.16.1.7,EC:1.16.1.7->RXN:R00092
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1665.t1,"Is involved in NO detoxification in an aerobic process, termed nitric oxide dioxygenase (NOD) reaction that utilizes O(2) and NAD(P)H to convert NO to nitrate, which protects the bacterium from various noxious nitrogen compounds. Therefore, plays a central role in the inducible response to nitrosative stress",,1.14.12.17,EC:1.14.12.17->RXN:R05724
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1695.t1,structural constituent of ribosome,K00015,,KO:K00015->RXN:R01388
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g170.t1,Belongs to the Glu Leu Phe Val dehydrogenases family,,1.4.1.4,EC:1.4.1.4->RXN:R00145
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1770.t1,UDP-glucose 6-dehydrogenase activity,K00012,,KO:K00012->RXN:R00286
